[2025-10-19 14:37:59] Running experiment 'superres_tta_resnet20' (고해상도 학습 + 다중 스케일 TTA)
[2025-10-19 14:37:59] Hard example sampler requested but no matching samples found; falling back to shuffle.
[2025-10-19 14:37:59] Model: resnet20, optimizer: adamw, lr: 0.0007, wd: 0.0003, epochs: 60, batch_size: 64
[2025-10-20 04:34:35] Epoch 52/60 | Train Loss: 0.0304 | Train Acc: 0.9917 | Val Acc: 0.9877
[2025-10-20 04:34:56] Epoch 53/60 | Train Loss: 0.0281 | Train Acc: 0.9929 | Val Acc: 0.9873
[2025-10-20 04:35:18] Epoch 54/60 | Train Loss: 0.0292 | Train Acc: 0.9927 | Val Acc: 0.9872
[2025-10-20 04:35:40] Epoch 55/60 | Train Loss: 0.0286 | Train Acc: 0.9931 | Val Acc: 0.9872
[2025-10-20 04:36:01] Epoch 56/60 | Train Loss: 0.0250 | Train Acc: 0.9933 | Val Acc: 0.9866
[2025-10-20 04:36:23] Epoch 57/60 | Train Loss: 0.0257 | Train Acc: 0.9931 | Val Acc: 0.9873
[2025-10-20 04:36:45] Epoch 58/60 | Train Loss: 0.0281 | Train Acc: 0.9932 | Val Acc: 0.9877
[2025-10-20 04:37:06] Epoch 59/60 | Train Loss: 0.0267 | Train Acc: 0.9937 | Val Acc: 0.9873
[2025-10-20 04:37:28] Epoch 60/60 | Train Loss: 0.0295 | Train Acc: 0.9922 | Val Acc: 0.9870
[2025-10-20 04:38:16] Running experiment 'superres_tta_resnet20' (고해상도 학습 + 다중 스케일 TTA)
[2025-10-20 04:38:16] Using WeightedRandomSampler with weight=3.0 (matched 6895 samples)
[2025-10-20 04:38:16] Model: resnet20, optimizer: adamw, lr: 0.0007, wd: 0.0003, epochs: 60, batch_size: 64
[2025-10-20 04:38:38] Epoch 1/60 | Train Loss: 1.3503 | Train Acc: 0.5655 | Val Acc: 0.6940
[2025-10-20 04:39:00] Epoch 2/60 | Train Loss: 0.5731 | Train Acc: 0.8364 | Val Acc: 0.9145
[2025-10-20 04:39:22] Epoch 3/60 | Train Loss: 0.3322 | Train Acc: 0.9078 | Val Acc: 0.9378
[2025-10-20 04:39:43] Epoch 4/60 | Train Loss: 0.2729 | Train Acc: 0.9232 | Val Acc: 0.9561
[2025-10-20 04:40:05] Epoch 5/60 | Train Loss: 0.2398 | Train Acc: 0.9300 | Val Acc: 0.9550
[2025-10-20 04:40:27] Epoch 6/60 | Train Loss: 0.2038 | Train Acc: 0.9429 | Val Acc: 0.9596
[2025-10-20 04:40:48] Epoch 7/60 | Train Loss: 0.1950 | Train Acc: 0.9447 | Val Acc: 0.9649
[2025-10-20 04:41:10] Epoch 8/60 | Train Loss: 0.1724 | Train Acc: 0.9509 | Val Acc: 0.9703
[2025-10-20 04:41:32] Epoch 9/60 | Train Loss: 0.1737 | Train Acc: 0.9500 | Val Acc: 0.9730
[2025-10-20 04:41:54] Epoch 10/60 | Train Loss: 0.1605 | Train Acc: 0.9531 | Val Acc: 0.9613
[2025-10-20 04:42:16] Epoch 11/60 | Train Loss: 0.1589 | Train Acc: 0.9537 | Val Acc: 0.9559
[2025-10-20 04:42:38] Epoch 12/60 | Train Loss: 0.1386 | Train Acc: 0.9600 | Val Acc: 0.9637
[2025-10-20 04:42:59] Epoch 13/60 | Train Loss: 0.1494 | Train Acc: 0.9572 | Val Acc: 0.9732
[2025-10-20 04:43:21] Epoch 14/60 | Train Loss: 0.1414 | Train Acc: 0.9587 | Val Acc: 0.9717
[2025-10-20 04:43:43] Epoch 15/60 | Train Loss: 0.1304 | Train Acc: 0.9639 | Val Acc: 0.9725
[2025-10-20 04:44:05] Epoch 16/60 | Train Loss: 0.1292 | Train Acc: 0.9630 | Val Acc: 0.9774
[2025-10-20 04:44:26] Epoch 17/60 | Train Loss: 0.1176 | Train Acc: 0.9654 | Val Acc: 0.9809
[2025-10-20 04:44:48] Epoch 18/60 | Train Loss: 0.1170 | Train Acc: 0.9644 | Val Acc: 0.9728
[2025-10-20 04:45:10] Epoch 19/60 | Train Loss: 0.1182 | Train Acc: 0.9669 | Val Acc: 0.9697
[2025-10-20 04:45:32] Epoch 20/60 | Train Loss: 0.1079 | Train Acc: 0.9684 | Val Acc: 0.9589
[2025-10-20 04:45:53] Epoch 21/60 | Train Loss: 0.1032 | Train Acc: 0.9701 | Val Acc: 0.9682
[2025-10-20 04:46:15] Epoch 22/60 | Train Loss: 0.1005 | Train Acc: 0.9719 | Val Acc: 0.9765
[2025-10-20 04:46:37] Epoch 23/60 | Train Loss: 0.0965 | Train Acc: 0.9726 | Val Acc: 0.9798
[2025-10-20 04:46:58] Epoch 24/60 | Train Loss: 0.0988 | Train Acc: 0.9707 | Val Acc: 0.9813
[2025-10-20 04:47:20] Epoch 25/60 | Train Loss: 0.0853 | Train Acc: 0.9755 | Val Acc: 0.9804
[2025-10-20 04:47:42] Epoch 26/60 | Train Loss: 0.0888 | Train Acc: 0.9745 | Val Acc: 0.9840
[2025-10-20 04:48:04] Epoch 27/60 | Train Loss: 0.0891 | Train Acc: 0.9754 | Val Acc: 0.9802
[2025-10-20 04:48:25] Epoch 28/60 | Train Loss: 0.0821 | Train Acc: 0.9765 | Val Acc: 0.9796
[2025-10-20 04:48:47] Epoch 29/60 | Train Loss: 0.0804 | Train Acc: 0.9763 | Val Acc: 0.9833
[2025-10-20 04:49:09] Epoch 30/60 | Train Loss: 0.0734 | Train Acc: 0.9798 | Val Acc: 0.9824
[2025-10-20 04:49:30] Epoch 31/60 | Train Loss: 0.0667 | Train Acc: 0.9811 | Val Acc: 0.9855
[2025-10-20 04:49:52] Epoch 32/60 | Train Loss: 0.0726 | Train Acc: 0.9796 | Val Acc: 0.9829
[2025-10-20 04:50:14] Epoch 33/60 | Train Loss: 0.0645 | Train Acc: 0.9824 | Val Acc: 0.9824
[2025-10-20 04:50:35] Epoch 34/60 | Train Loss: 0.0582 | Train Acc: 0.9838 | Val Acc: 0.9827
[2025-10-20 04:50:57] Epoch 35/60 | Train Loss: 0.0609 | Train Acc: 0.9832 | Val Acc: 0.9848
[2025-10-20 04:51:19] Epoch 36/60 | Train Loss: 0.0542 | Train Acc: 0.9840 | Val Acc: 0.9848
[2025-10-20 04:51:40] Epoch 37/60 | Train Loss: 0.0517 | Train Acc: 0.9851 | Val Acc: 0.9829
[2025-10-20 04:52:02] Epoch 38/60 | Train Loss: 0.0527 | Train Acc: 0.9855 | Val Acc: 0.9835
[2025-10-20 04:52:24] Epoch 39/60 | Train Loss: 0.0510 | Train Acc: 0.9866 | Val Acc: 0.9844
[2025-10-20 04:52:46] Epoch 40/60 | Train Loss: 0.0483 | Train Acc: 0.9857 | Val Acc: 0.9835
[2025-10-20 04:53:07] Epoch 41/60 | Train Loss: 0.0459 | Train Acc: 0.9879 | Val Acc: 0.9857
[2025-10-20 04:53:29] Epoch 42/60 | Train Loss: 0.0444 | Train Acc: 0.9877 | Val Acc: 0.9853
[2025-10-20 04:53:51] Epoch 43/60 | Train Loss: 0.0401 | Train Acc: 0.9899 | Val Acc: 0.9851
[2025-10-20 04:54:13] Epoch 44/60 | Train Loss: 0.0423 | Train Acc: 0.9878 | Val Acc: 0.9864
[2025-10-20 04:54:34] Epoch 45/60 | Train Loss: 0.0364 | Train Acc: 0.9901 | Val Acc: 0.9866
[2025-10-20 04:54:56] Epoch 46/60 | Train Loss: 0.0374 | Train Acc: 0.9903 | Val Acc: 0.9864
[2025-10-20 04:55:18] Epoch 47/60 | Train Loss: 0.0315 | Train Acc: 0.9909 | Val Acc: 0.9851
[2025-10-20 04:55:40] Epoch 48/60 | Train Loss: 0.0326 | Train Acc: 0.9913 | Val Acc: 0.9868
[2025-10-20 04:56:01] Epoch 49/60 | Train Loss: 0.0307 | Train Acc: 0.9924 | Val Acc: 0.9855
[2025-10-20 04:56:23] Epoch 50/60 | Train Loss: 0.0288 | Train Acc: 0.9928 | Val Acc: 0.9864
[2025-10-20 04:56:45] Epoch 51/60 | Train Loss: 0.0283 | Train Acc: 0.9923 | Val Acc: 0.9862
[2025-10-20 04:57:06] Epoch 52/60 | Train Loss: 0.0300 | Train Acc: 0.9920 | Val Acc: 0.9860
[2025-10-20 04:57:28] Epoch 53/60 | Train Loss: 0.0282 | Train Acc: 0.9928 | Val Acc: 0.9864
[2025-10-20 04:57:50] Epoch 54/60 | Train Loss: 0.0286 | Train Acc: 0.9926 | Val Acc: 0.9853
[2025-10-20 04:58:12] Epoch 55/60 | Train Loss: 0.0287 | Train Acc: 0.9935 | Val Acc: 0.9859
[2025-10-20 04:58:34] Epoch 56/60 | Train Loss: 0.0234 | Train Acc: 0.9940 | Val Acc: 0.9862
[2025-10-20 04:58:55] Epoch 57/60 | Train Loss: 0.0244 | Train Acc: 0.9937 | Val Acc: 0.9862
[2025-10-20 04:59:17] Epoch 58/60 | Train Loss: 0.0273 | Train Acc: 0.9933 | Val Acc: 0.9859
[2025-10-20 04:59:39] Epoch 59/60 | Train Loss: 0.0262 | Train Acc: 0.9939 | Val Acc: 0.9857
[2025-10-20 05:00:00] Epoch 60/60 | Train Loss: 0.0280 | Train Acc: 0.9930 | Val Acc: 0.9851
